english_word,part_of_speech,transcription,russian_word,speech
implication,(n.),[ɪmplɪˈkeɪʃ(ə)n],"следствие, подтекст, смысл",[sound:implication.mp3]
translation,(n.),[trænzˈleɪʃ(ə)n],перевод,[sound:translation.mp3]
click,(n.),[klɪk],щелчок,[sound:click.mp3]
commission,(v.),[kəˈmɪʃ(ə)n],"назначать на должность, поручать",[sound:commission.mp3]
locally,(adv.),[ˈləʊkəlɪ],"в определённом месте, локально",[sound:locally.mp3]
reverse,(v.),[rɪˈvəːs],"переворачивать, реверсировать",[sound:reverse.mp3]
indicate,(v.),[ˈɪndɪkeɪt],"показывать, указывать, измерять прибором",[sound:indicate.mp3]
transport,(n.),[ˈtrænspɔːt],"перевозка, транспорт",[sound:transport.mp3]
journey,(n.),[ˈdʒəːnɪ],путешествие,[sound:journey.mp3]
finish,(n.),[ˈfɪnɪʃt],"конец, окончание, финиш",[sound:finish.mp3]
option,(n.),[ˈɒpʃ(ə)n],"выбор, альтернатива, оптион",[sound:option.mp3]
adopt,(v.),[əˈdɒpt],"усыновлять, удочерять, принимать",[sound:adopt.mp3]
interior,(n.),[ɪnˈtɪərɪə(r)],"внутренняя часть, интерьер",[sound:interior.mp3]
happily,(adv.),[ˈhæpɪlɪ],"успешно, удачно, счастливо",[sound:happily.mp3]
invest,(v.),[ɪnˈvest],"вкладывать деньги, инвестировать",[sound:invest.mp3]
generously,(adv.),[ˈdʒenrəsli],"обильно, щедро, много",[sound:generously.mp3]
decent,(adj.),[ˈdiːs(ə)nt],"подходящий, пристойный",[sound:decent.mp3]
tendency,(n.),[ˈtendənsɪ],"тенденция, стремление",[sound:tendency.mp3]
double,(n.),[ˈdʌb(ə)l],"двойное кол-во, номер на двоих, двойник",[sound:double.mp3]
daily,(adj.),[ˈdeɪlɪ],"ежедневный, суточный",[sound:daily.mp3]
display,(v.),[dɪˈspleɪ],"выставлять, показывать, демонстрировать",[sound:display.mp3]
perfectly,(adv.),[ˈpərfɪkliː],"совершенно, прекрасно",[sound:perfectly.mp3]
increasingly,(adv.),[ɪnˈkriːsli],все больше и больше,[sound:increasingly.mp3]
gap,(n.),[ɡæp],"пролом, брешь, щель, дыра",[sound:gap.mp3]
bicycle,(n.),[ˈbaɪsɪkəl],велосипед,[sound:bicycle.mp3]
per,(prep.),[pəː(r)],"из расчёта на, за, в, с",[sound:per.mp3]
alarmed,(adj.),[əˈlɑːmed],"встревоженный, обеспокоенный",[sound:alarmed.mp3]
delicate,(adj.),[ˈdelɪkət],"тонкий, нежный, деликатный",[sound:delicate.mp3]
ultimately,(adv.),[ˈʌltɪmətlɪ],окончательно,[sound:ultimately.mp3]
disapproval,(n.),[dɪsəˈpruːv(ə)l],"неодобрение, осуждение, порицание",[sound:disapproval.mp3]
democracy,(n.),[dɪˈmɒkrəsɪ],"демократия, власть народа",[sound:democracy.mp3]
presumably,(adv.),[prɪˈzjuːməblɪ],"предположительно, возможно",[sound:presumably.mp3]
captain,(n.),[ˈkæptɪn],капитан (звание или должность),[sound:captain.mp3]
bitterly,(adv.),[ˈbɪtəli],"горько, мучительно",[sound:bitterly.mp3]
sting,(v.),[stɪŋ],"жалить, жечь",[sound:sting.mp3]
split,(n.),[splɪt],"разрыв, раскол, трещина",[sound:split.mp3]
cheerful,(adj.),[ˈtʃɪəfʊl],"веселый, радостный, энергичный",[sound:cheerful.mp3]
keen,(adj.),[kiːn],"острый, стремящийся",[sound:keen.mp3]
derive,(v.),[dɪˈraɪv],"получать, извлекать",[sound:derive.mp3]
current,(adj.),[ˈkʌrənt],"текущий, данный, современный",[sound:current.mp3]
confront,(v.),[kənˈfrʌnt],"противостоять, сталкиваться",[sound:confront.mp3]
specific,(adj.),[spəˈsɪfɪk],"особенный, особый, специфический",[sound:specific.mp3]
severe,(adj.),[sɪˈvɪə(r)],"строгий, суровый, жестокий",[sound:severe.mp3]
desire,(n.),[dɪˈzaɪə(r)],"желание, страсть",[sound:desire.mp3]
emphasize,(v.),[ˈemfəsaɪz],"придавать особое значение, подчёркивать, акцентировать",[sound:emphasize.mp3]
suit,(v.),[ˈsuːt],"подходить, устраивать",[sound:suit.mp3]
orange,(adj.),[ˈɒrɪndʒ],оранжевый,[sound:orange.mp3]
board,(v.),[ˈbɔrd],"подниматься на борт, садится (в транспорт)",[sound:board.mp3]
sincere,(adj.),[sɪnˈsɪə(r)],"искренний, чистосердечный, подлинный",[sound:sincere.mp3]
differently,(adv.),[ˈdɪfrəntlɪ],"по-другому, иначе",[sound:differently.mp3]
disk,(n.),[ˈdɪsk],диск,[sound:disk.mp3]
state,(adj.),[ˈsteɪt],"парадный, торжественный",[sound:state.mp3]
fund,(n.),[fʌnd],"запас, резерв, источник, фонд",[sound:fund.mp3]
audience,(n.),[ˈɔːdɪəns],"публика, зрители",[sound:audience.mp3]
distribution,(n.),[dɪstrɪˈbjuːʃ(ə)n],"распределение, раздача, распространение",[sound:distribution.mp3]
violently,(adv.),[violentli],"жестоко, яростно",[sound:violently.mp3]
bent,(adj.),[bent],изогнутый,[sound:bent.mp3]
disapproving,(adj.),[dɪsəˈpruːvɪŋ],неодобрительный,[sound:disapproving.mp3]
stamp,(v.),[ˈstæmp],"топнуть ногой, давить, штамповать",[sound:stamp.mp3]
latest,(adj.),[ˈleɪtɪst],"самый поздний, самый последний",[sound:latest.mp3]
worrying,(adj.),[ˈwəriːɪŋ],волнующий,[sound:worrying.mp3]
manufacturing,(n.),[mænjʊˈfæktʃ(ə)rıɲ],производство,[sound:manufacturing.mp3]
offend,(v.),[əˈfend],"обижать, оскорблять",[sound:offend.mp3]
devote,(v.),[dɪˈvəʊt],"отдавать, посвящать",[sound:devote.mp3]
broadly,(adv.),[ˈbrɔːdlɪ],"широко, свободно, терпимо",[sound:broadly.mp3]
whistle,(n.),[ˈwɪs(ə)l],"свисток, свист",[sound:whistle.mp3]
disgust,(v.),[dɪsˈɡʌst],"раздразжать, выводить",[sound:disgust.mp3]
reward,(v.),[rɪˈwɔːd],"награждать, премировать",[sound:reward.mp3]
formally,(adv.),[ˈfɔrməli],"формально, официально",[sound:formally.mp3]
hatred,(n.),[ˈheɪtrɪd],ненависть (сильная),[sound:hatred.mp3]
dislike,(n.),[dɪsˈlaɪk],"неприязнь, не любовь",[sound:dislike.mp3]
dismiss,(v.),[dɪsˈmɪs],"увольнять, отвергать, освобождать",[sound:dismiss.mp3]
proudly,(adv.),[ˈpræʊdly],"гордо, заносчиво",[sound:proudly.mp3]
elect,(v.),[ɪˈlekt],"избирать, назначать",[sound:elect.mp3]
repeatedly,(adv.),[rɪˈpiːtɪdlɪ],"часто, неоднократно",[sound:repeatedly.mp3]
distinguish,(v.),[dɪˈstɪŋɡwɪʃ],"различить, разглядеть, рассмотреть",[sound:distinguish.mp3]
spare,(adj.),[speə(r)],"запасной, резервный, свободный",[sound:spare.mp3]
rail,(n.),[reɪl],"перила, поручни",[sound:rail.mp3]
recall,(v.),[ˈriːkɔːl],"вспоминать, возвращать",[sound:recall.mp3]
divorced,(adj.),[dɪˈvɔːst],разведенный,[sound:divorced.mp3]
label,(v.),[ˈleɪb(ə)l],навешивать бирку,[sound:label.mp3]
lung,(n.),[lʌŋ],легкое,[sound:lung.mp3]
context,(n.),[ˈkɒntekst],"ситуация, окружение, среда",[sound:context.mp3]
environmental,(adj.),[ɪnvaɪərənˈment(ə)l],относящийся к окружающей среде,[sound:environmental.mp3]
decline,(n.),[dɪˈklaɪn],"падение, спад, упадок",[sound:decline.mp3]
plastic,(adj.),[ˈplæstɪk],пластиковый,[sound:plastic.mp3]
professional,(n.),[prəˈfeʃnəl],профессионал,[sound:professional.mp3]
bunch,(n.),[bʌntʃ],"связка, пучок, пачка",[sound:bunch.mp3]
swimming pool,(n.),[ˈswɪmɪŋ ˈpuːl],плавательный бассейн,[sound:swimming_pool.mp3]
naturally,(adv.),[ˈnætʃərəlɪ],"конечно, естественно",[sound:naturally.mp3]
effectively,(adv.),[ɪˈfektɪvli],"действенно, эффективно",[sound:effectively.mp3]
photograph,(v.),[ˈfoʊtəˌgræf],"фотографировать, снимать",[sound:photograph.mp3]
initially,(adv.),[ɪˈnɪʃ(ə)li],"в начале, в начальной стадии",[sound:initially.mp3]
household,(adj.),[ˈhaʊshəʊld],"домашний, семейный, хозяйственный",[sound:household.mp3]
yeah,(exclamation),[jeə],да,[sound:yeah.mp3]
master,(n.),[ˈmɑːstə(r)],"хозяин, владелец, господин",[sound:master.mp3]
oppose,(v.),[əˈpəʊz],"быть против, возражать",[sound:oppose.mp3]
commercial,(adj.),[kəˈməːʃ(ə)l],"коммерческий, торговый",[sound:commercial.mp3]
yawn,(n.),[jɔːn],зевок,[sound:yawn.mp3]
formerly,(adv.),[ˈfɔːməlɪ],"когда-то, прежде, раньше, некогда",[sound:formerly.mp3]
allied,(adj.),[ˈælaɪd],"близкий, родственный",[sound:allied.mp3]
permanently,(adv.),[permanentli],"надолго, постоянно",[sound:permanently.mp3]
due,(adj.),[djuː],"ожидаемый, подлежащий выплате, обязанный",[sound:due.mp3]
vocabulary,(n.),[vəˈkæbjʊlərɪ],"лексикон, словарный запас",[sound:vocabulary.mp3]
extend,(v.),[ɪkˈstend],"расширять, продливать, простираться",[sound:extend.mp3]
irritate,(v.),[ˈɪrɪteɪt],"возмущать, раздражать, сердить",[sound:irritate.mp3]
hopefully,(adv.),[ˈhəʊpfʊlɪ],с надеждой,[sound:hopefully.mp3]
alphabetical,(adj.),[ælfəˈbetɪk(ə)l],"алфавитный, простой",[sound:alphabetical.mp3]
reverse,(n.),[rɪˈvəːs],"противоположное, обратное",[sound:reverse.mp3]
jointly,(adv.),[dʒɔɪntlı],"вместе, сообща",[sound:jointly.mp3]
severely,(adv.),[sɪˈvɪə(r)lɪ],"строго, сурово, требовательно",[sound:severely.mp3]
northern,(adj.),[ˈnɔːð(ə)n],северный,[sound:northern.mp3]
simply,(adv.),[ˈsɪmpəl],"легко, просто, несложно",[sound:simply.mp3]
warning,(n.),[ˈwɔrnɪŋ],"предупреждение, предостережение",[sound:warning.mp3]
closely,(adv.),[kləʊslɪ],"близко, вплотную",[sound:closely.mp3]
signature,(n.),[ˈsɪɡnətʃə(r)],подпись,[sound:signature.mp3]
draft,(n.),[drɑːft],"набросок, черновик, сквозняк, призыв",[sound:draft.mp3]
efficient,(adj.),[ɪˈfɪʃ(ə)nt],"действенный, результативный, эффективный",[sound:efficient.mp3]
efficiently,(adv.),[ɪˈfɪʃ(ə)ntli],"рационально, разумно",[sound:efficiently.mp3]
secure,(adj.),[sɪˈkjʊə(r)],"надежный, защищенный",[sound:secure.mp3]
interview,(v.),[ˈɪntəvjuː],"проводить собеседование, брать интервью",[sound:interview.mp3]
elbow,(n.),[ˈelbəʊ],локоть,[sound:elbow.mp3]
interpret,(v.),[ɪnˈtəːprɪt],"переводить, объяснять, интерпретировать",[sound:interpret.mp3]
dissolve,(v.),[dɪˈzɒlv],"растворяться, таять, испаряться",[sound:dissolve.mp3]
component,(n.),[kəmˈpəʊnənt],"составная часть, узел, деталь, компонент",[sound:component.mp3]
elegant,(adj.),[ˈelɪɡənt],"изысканный, со вкусом, элегантный",[sound:elegant.mp3]
elevator,(n.),[ˈelɪveɪtə(r)],"грузоподъемник, лифт",[sound:elevator.mp3]
calculation,(n.),[kælkjʊˈleɪʃ(ə)n],"вычисление, расчет",[sound:calculation.mp3]
intellectual,(adj.),[ɪntɪˈlektjʊəl],"мыслительный, умственный",[sound:intellectual.mp3]
fly,(n.),[ˈflaɪ],"двукрылое или летающее насекомое, муха",[sound:fly.mp3]
accidentally,(adv.),[æksɪˈdent(ə)li],"случайно, нечаянно",[sound:accidentally.mp3]
unsteady,(adj.),[ˌənˈstediː],"неустойчивый, нетвердый",[sound:unsteady.mp3]
desire,(v.),[dɪˈzaɪə(r)],"желать, мечтать",[sound:desire.mp3]
license,(n.),[ˈlaɪs(ə)ns],"лицензия, разрешение",[sound:license.mp3]
interior,(adj.),[ɪnˈtɪərɪə(r)],"внутренний, скрытый",[sound:interior.mp3]
significantly,(adv.),[sɪɡˈnɪfɪkəntlɪ],многозначительно,[sound:significantly.mp3]
encounter,(v.),[ɪnˈkaʊntə(r)],"встретиться (случайно), столкнуться (с кем-л.)",[sound:encounter.mp3]
basically,(adv.),[ˈbeɪsɪkəlɪ],"в основном, по существу",[sound:basically.mp3]
occasionally,(adv.),[əˈkeɪʒən(ə)lɪ],"иногда, изредка",[sound:occasionally.mp3]
ultimate,(adj.),[ˈʌltɪmət],"последний, завершающий",[sound:ultimate.mp3]
strategy,(n.),[ˈstrætədʒɪ],стратегия,[sound:strategy.mp3]
polish,(n.),[ˈpɒlɪʃ],"глянец, блеск",[sound:polish.mp3]
reception,(n.),[rɪˈsepʃ(ə)n],"прием (тв, радио), встреча, стойка в гостинице",[sound:reception.mp3]
application,(n.),[æplɪˈkeɪʃ(ə)n],"просьба, заявление, форма заявления",[sound:application.mp3]
following,(prep.),[ˈfɒləʊwɪŋ],"после, вслед за",[sound:following.mp3]
injured,(adj.),[ˈɪndʒəd],"обиженный, травмированный",[sound:injured.mp3]
carpet,(n.),[ˈkɑːpɪt],"ковёр, ковролин",[sound:carpet.mp3]
mentally,(adv.),[ˈment(ə)li],"умственно, мысленно",[sound:mentally.mp3]
entire,(adj.),[ɪnˈtaɪə(r)],"полный, целый, весь",[sound:entire.mp3]
spoken,(adj.),[ˈspoʊkən],"устный, разговорный",[sound:spoken.mp3]
routine,(n.),[ruːˈtiːn],обычный порядок,[sound:routine.mp3]
equally,(adv.),[ˈiːkwəli],"равно, в равной степени",[sound:equally.mp3]
equivalent,(adj.),[ɪˈkwɪvələnt],"равноценный, равнозначащий",[sound:equivalent.mp3]
annoyed,(adj.),[əˈnɔɪd],"недовольный, раздосадованный, раздражённый",[sound:annoyed.mp3]
fame,(n.),[feɪm],"известность, популярность, репутация",[sound:fame.mp3]
essentially,(adv.),[ɪˈsenʃ(ə)li],"по существу, существенно",[sound:essentially.mp3]
agenda,(n.),[əˈdʒendə],"программа (работы), план (мероприятий)",[sound:agenda.mp3]
welcome,(exclamation),[ˈwelkəm],добро пожаловать! милости просим!,[sound:welcome.mp3]
typically,(adv.),[ˈtɪpɪkliː],типично,[sound:typically.mp3]
web,(n.),[web],"паутина, сеть",[sound:web.mp3]
conference,(n.),[ˈkɒnfərəns],конференция,[sound:conference.mp3]
angrily,(adv.),[ˈæŋgriːli],"гневно, сердито",[sound:angrily.mp3]
reform,(n.),[rɪˈfɔːm],"реформа, преобразование",[sound:reform.mp3]
aid,(v.),[eɪd],"помогать, способствовать",[sound:aid.mp3]
educational,(adj.),[edjʊˈkeɪʃən(ə)l],"образовательный, воспитательный",[sound:educational.mp3]
drama,(n.),[ˈdrɑːmə],"драма, трагедия",[sound:drama.mp3]
flash,(n.),[ˈflæʃ],"вспышка, сверкание",[sound:flash.mp3]
consequence,(n.),[ˈkɒnsɪkwəns],"следствие, результат",[sound:consequence.mp3]
exception,(n.),[ɪkˈsepʃ(ə)n],"исключение, изъятие, невключение",[sound:exception.mp3]
pop,(v.),[pɒp],"лопаться, совать",[sound:pop.mp3]
instance,(n.),[ˈɪnst(ə)ns],"пример, случай",[sound:instance.mp3]
construction,(n.),[kənˈstrʌkʃ(ə)n],"стройка, здание, конструкция",[sound:construction.mp3]
hollow,(adj.),[ˈhɒləʊ],"пустой, полый, голодный, ввалившийся",[sound:hollow.mp3]
executive,(n.),[ɪɡˈzekjʊtɪv],"руководитель, администратор (какого-л. учреждения)",[sound:executive.mp3]
shall,(modal v.) (уст.),[ʃæl],должен быть (обозначает будущее),[sound:shall.mp3]
tire,(v.),[ˈtaɪr],"утомляться, уставать",[sound:tire.mp3]
fan,(n.),[fæn],"веер, вентилятор",[sound:fan.mp3]
existence,(n.),[ɪɡˈzɪst(ə)ns],"жизнь, бытие, существование",[sound:existence.mp3]
expand,(v.),[ɪkˈspænd],"растягиваться, расширяться, увеличиваться",[sound:expand.mp3]
sweep,(v.),[swiːp],"мести, подметать",[sound:sweep.mp3]
pose,(n.),[pəʊz],"поза, положение тела",[sound:pose.mp3]
tale,(n.),[teɪl],сказка,[sound:tale.mp3]
striking,(adj.),[ˈstraɪkɪŋ],"поразительный, изумительный, необыкновенный",[sound:striking.mp3]
frequent,(adj.),[ˈfriːkwənt],"частый, часто встречающийся",[sound:frequent.mp3]
deposit,(v.),[dɪˈpɒzɪt],"класть в банк, отдавать на хранение",[sound:deposit.mp3]
screw,(n.),[skruː],"шуруп, винт",[sound:screw.mp3]
striped,(adj.),[ˈstraɪpt],полосатый,[sound:striped.mp3]
outstanding,(adj.),[ˌæʊtˈstændɪŋ],"выдающийся, знаменитый, торчащий, выступающий",[sound:outstanding.mp3]
dump,(v.),[dʌmp],"класть, сбрасывать, выкидывать",[sound:dump.mp3]
terrorist,(n.),[ˈterərɪst],террорист,[sound:terrorist.mp3]
institution,(n.),[ɪnstɪˈtjuːʃ(ə)n],"организация, учреждение, ведомство",[sound:institution.mp3]
economics,(n.),[iːkəˈnɒmɪks],"экономика, теория экономики",[sound:economics.mp3]
gambling,(n.),[ˈɡæmblɪŋ],"спекуляция, игра на деньги",[sound:gambling.mp3]
countryside,(n.),[ˈkʌntrɪ],"сельская местность, деревня",[sound:countryside.mp3]
faintly,(adv.),[feɪntli],"бледно, слабо, еле-еле",[sound:faintly.mp3]
fairly,(adv.),[ˈfeəlɪ],"довольно, четко, ясно",[sound:fairly.mp3]
factor,(n.),[ˈfæktə(r)],"фактор, движущая сила, коэффициент",[sound:factor.mp3]
index,(n.),[ˈɪndeks],"алфавитный указатель, стрелка (на шкале)",[sound:index.mp3]
essential,(n.),[ɪˈsenʃ(ə)l],"сущность, суть, главное",[sound:essential.mp3]
sample,(n.),[ˈsɑːmp(ə)l],образец,[sound:sample.mp3]
accent,(n.),[ˈæks(ə)nt],"акцент, произношение",[sound:accent.mp3]
exhibition,(n.),[eksɪˈbɪʃ(ə)n],"выставка, показ, публичный экзамен",[sound:exhibition.mp3]
farming,(n.),[ˈfɑrmɪŋ],сельское хозяйство,[sound:farming.mp3]
account,(v.),[əˈkaʊnt],"рассматривать, считать (кого-л. / что-л.) как;",[sound:account.mp3]
fast,(adv.),[ˈfæst],"быстро, часто, скоро",[sound:fast.mp3]
arm,(v.),[ˈɑrm],вести под руку,[sound:arm.mp3]
covered,(adj.),[ˈkʌvə(r)],"закрытый сверху, укрытый, покрытый",[sound:covered.mp3]
bandage,(n.),[ˈbændɪdʒ],"бинт, бандаж",[sound:bandage.mp3]
swell,(v.),[swel],"усиливаться, up - опухать",[sound:swell.mp3]
appeal,(n.),[əˈpiːl],"обращение, привлекательность, аппеляция",[sound:appeal.mp3]
fever,(n.),[ˈfiːvə(r)],"жар, лихорадка",[sound:fever.mp3]
fee,(n.),[fiː],"вознаграждение, гонорар, платеж",[sound:fee.mp3]
extent,(n.),[ɪkˈstent],"пространство, пределы, объем",[sound:extent.mp3]
federal,(adj.),[ˈfedər(ə)l],"федеральный, правительственный",[sound:federal.mp3]
regret,(n.),[rɪˈɡret],"сожаление, огорчение",[sound:regret.mp3]
ton,(n.),[tʌn],тонна,[sound:ton.mp3]
predict,(v.),[prɪˈdɪkt],предсказывать,[sound:predict.mp3]
qualification,(n.),[kwɒlɪfɪˈkeɪʃ(ə)n],"квалификация, навык",[sound:qualification.mp3]
site,(n.),[saɪt],"место, позиция, узел сети",[sound:site.mp3]
bore,(v.),[bɔː(r)],"утомить, сверлить",[sound:bore.mp3]
waitress,(n.),[ˈweɪtrɪs],"официантка, горничная",[sound:waitress.mp3]
finished,(adj.),[ˈfɪnɪʃ],"законченный, готовый, финальный",[sound:finished.mp3]
medium,(n.),[ˈmiːdiːəm],"способ, средство",[sound:medium.mp3]
senator,(n.),[ˈsenətə(r)],сенатор,[sound:senator.mp3]
substitute,(v.),[ˈsʌbstɪtjuːt],"заменять, замещать",[sound:substitute.mp3]
entry,(n.),[ˈentrɪ],"вход, въезд, проход",[sound:entry.mp3]
license,(v.),[ˈlaɪs(ə)ns],разрешать,[sound:license.mp3]
sting,(n.),[stɪŋ],жало,[sound:sting.mp3]
plot,(n.),[plɒt],"интрига, заговор, делянка",[sound:plot.mp3]
spite,(n.),[spaɪt],"злоба, злость",[sound:spite.mp3]
locate,(v.),[ləʊˈkeɪt],"определять место, местонахождение",[sound:locate.mp3]
agency,(n.),[ˈeɪdʒənsɪ],агентство,[sound:agency.mp3]
unfairly,(adv.),[ʌnˈfeə(r)li],"несправедливо, нечестно",[sound:unfairly.mp3]
round,(n.),[ræʊnd],круглый,[sound:round.mp3]
folks,(n.),[fəʊks],"люди, народ, родители",[sound:folks.mp3]
commonly,(adv.),[ˈkɒmənlɪ],"обычно, обыкновенно, как правило",[sound:commonly.mp3]
enormous,(adj.),[ɪˈnɔːməs],"громадный, обширный, чудовищный",[sound:enormous.mp3]
matching,(adj.),[ˈmætʃɪŋ],"подходящий, согласующийся",[sound:matching.mp3]
by,(adv.),[baɪ],"около, рядом, мимо",[sound:by.mp3]
tension,(n.),[ˈtenʃ(ə)n],"напряжение, напряжённое состояние",[sound:tension.mp3]
conduct,(n.),[ˈkɒndʌkt],поведение,[sound:conduct.mp3]
hell,(n.),[hel],"ад, преисподня",[sound:hell.mp3]
cycle,(n.),[ˈsaɪk(ə)l],цикл,[sound:cycle.mp3]
found,(v.),[faʊnd],"начинать строительство, основывать",[sound:found.mp3]
extraordinary,(adj.),[ɪkˈstrɔːdɪnərɪ],"выдающийся, замечательный, исключительный",[sound:extraordinary.mp3]
university,(n.),[juːnɪˈvəːsɪtɪ],университет,[sound:university.mp3]
embarrassment,(n.),[ɪmˈbærəsmənt],"смущение, помеха, преграда",[sound:embarrassment.mp3]
impact,(n.),[ˈɪmpækt],"толчек, импульс",[sound:impact.mp3]
preference,(n.),[ˈprefərəns],"предпочтение, преимущество",[sound:preference.mp3]
outdoors,(adv.),[aʊtˈdɔːz],на улице,[sound:outdoors.mp3]
conclude,(v.),[kənˈkluːd],"делать вывод, заканчивать, заключать",[sound:conclude.mp3]
freshly,(adv.),[ˈfreʃlɪ],"свежо, бодро",[sound:freshly.mp3]
Friday,(n.),[ˈfraɪdeɪ],пятница,[sound:friday.mp3]
currently,(adv.),[ˈkʌrəntli],"теперь, в настоящее время",[sound:currently.mp3]
glue,(v.),[ɡluː],клеить,[sound:glue.mp3]
commit,(v.),[kəˈmɪt],совершать,[sound:commit.mp3]
smoking,(n.),[ˈsməʊkɪŋ],курение,[sound:smoking.mp3]
blankly,(adv.),[blæŋkli],"безучастно, невыразительно, тупо",[sound:blankly.mp3]
joint,(n.),[dʒɔɪnt],сустав,[sound:joint.mp3]
forecast,(v.),[ˈfɔːkɑːst],предсказывать,[sound:forecast.mp3]
diary,(n.),[ˈdaɪərɪ],"дневник, ежедневник",[sound:diary.mp3]
observation,(n.),[ɒbzəˈveɪʃ(ə)n],"наблюдение, разведка",[sound:observation.mp3]
bid,(v.),[bɪd],предлагать цену,[sound:bid.mp3]
flying,(adj.),[ˈflaɪɪŋ],"летающий, летучий, летательный",[sound:flying.mp3]
minor,(adj.),[ˈmaɪnə(r)],"незначительный, второстепенный",[sound:minor.mp3]
faithfully,(adv.),[ˈfeɪθfʊlɪ],"верно, точно, честно",[sound:faithfully.mp3]
unimportant,(adj.),[ˌʌnɪmˈpɔːt(ə)nt],"неважный, несущественный",[sound:unimportant.mp3]
software,(n.),[ˈsɔftˌwer],программное обеспечение,[sound:software.mp3]
major,(n.),[ˈmeɪdʒə(r)],"специальность (в колледже), майор",[sound:major.mp3]
gene,(n.),[dʒiːn],ген,[sound:gene.mp3]
debate,(n.),[dɪˈbeɪt],"дебаты, дискуссия, обсуждение",[sound:debate.mp3]
generate,(v.),[ˈdʒenəreɪt],"производить, генерировать",[sound:generate.mp3]
congress,(n.),[ˈkɒŋɡres],"конгресс, съезд",[sound:congress.mp3]
decay,(n.),[dɪˈkeɪ],"гниение, обветшание, угасание",[sound:decay.mp3]
junior,(adj.),[ˈdʒuːnɪə(r)],"младший, нижестоящий, юношеский",[sound:junior.mp3]
arise,(v.),[əˈraɪz],"возникать, появляться",[sound:arise.mp3]
truly,(adv.),[ˈtruːlɪ],"правдиво, искренне",[sound:truly.mp3]
profile,(n.),[ˈprəʊfaɪl],"профиль, совокупность параметров",[sound:profile.mp3]
sideways,(adj.),[ˈsaɪdweɪz],боковой,[sound:sideways.mp3]
giant,(adj.),[ˈdʒaɪənt],"гигантский, огромный",[sound:giant.mp3]
welcome,(n.),[ˈwelkəm],приветствие,[sound:welcome.mp3]
following,(adj.),[ˈfɒləʊwɪŋ],"следующий, попутный",[sound:following.mp3]
block,(v.),[ˈblɑk],"задерживать, преграждать, препятствовать",[sound:block.mp3]
glue,(n.),[ɡluː],клей,[sound:glue.mp3]
pill,(n.),[pɪl],"таблeтка, пилюля",[sound:pill.mp3]
lead,(n.),[ˈliːd],"указатель, лидер, свинец",[sound:lead.mp3]
chairwoman,(n.),[tʃeə(r)wʊmən],председательница,[sound:chairwoman.mp3]
drunk,(adj.),[drʌŋk],"напившийся, пьяный",[sound:drunk.mp3]
attempt,(v.),[əˈtempt],"пытаться, стараться, делать попытку",[sound:attempt.mp3]
governor,(n.),[ˈɡʌvənə(r)],губернатор,[sound:governor.mp3]
obviously,(adv.),[ˈɒbvɪəs],"явно, заметно",[sound:obviously.mp3]
expectation,(n.),[ekspekˈteɪʃ(ə)n],"ожидание, предположение, надежда",[sound:expectation.mp3]
lively,(adj.),[ˈlaɪvlɪ],"яркий, живой (о картине)",[sound:lively.mp3]
granddaughter,(n.),[ˈgrænˌdɔːtə(r)],внучка,[sound:granddaughter.mp3]
passing,(n.),[ˈpæsɪŋ],"прохождение, полёт, протекание",[sound:passing.mp3]
cure,(v.),[ˈkjʊə(r)],"излечивать, исцелять",[sound:cure.mp3]
deaf,(adj.),[def],глухой,[sound:deaf.mp3]
grandson,(n.),[ɡrændˌsʌn],внук,[sound:grandson.mp3]
chart,(v.),[tʃɑːt],"наносить на карту, строить план",[sound:chart.mp3]
whereas,(conj.),[weərˈæz],"тогда как, принимая во внимание, поскольку",[sound:whereas.mp3]
senior,(n.),[ˈsiːnɪə(r)],"старшекласник, старший по возрасту",[sound:senior.mp3]
mine,(n.),[ˈmaɪn],"шахта, мина",[sound:mine.mp3]
purchase,(v.),[ˈpəːtʃɪs],"покупать, закупать",[sound:purchase.mp3]
spell,(n.),[ˈspel],"срок, период, заклинание",[sound:spell.mp3]
automatically,(adv.),[ɔːtəˈmætɪk(ə)li],"автоматически, непреднамеренно",[sound:automatically.mp3]
counter,(n.),[ˈkaʊntə(r)],"столешница, стойка, прилавок",[sound:counter.mp3]
chamber,(n.),[ˈtʃeɪmbə(r)],"камера, комната",[sound:chamber.mp3]
upstairs,(n.),[ʌpˈsteəz],верхний этаж,[sound:upstairs.mp3]
hairdresser,(n.),[heə(r)ˌdresə(r)],парикмахер,[sound:hairdresser.mp3]
willing,(adj.),[ˈwɪlɪŋ],"готовый (сделать что-л.), охотно делающий (что-л.)",[sound:willing.mp3]
evil,(n.),[ˈiːvəl],"зло, вред",[sound:evil.mp3]
curl,(v.),[kəːl],"виться, клубится",[sound:curl.mp3]
review,(n.),[rɪˈvjuː],"обзор, обозрение",[sound:review.mp3]
curiously,(adv.),[ˈkjʊərɪəsli],"любопытно, с любопытством",[sound:curiously.mp3]
repeated,(adj.),[rɪˈpiːt],"повторяющийся, неоднократный",[sound:repeated.mp3]
ruined,(adj.),[ˈruːənd],"разрушенный, разоренный",[sound:ruined.mp3]
launch,(n.),[ˈlɔntʃ],"начало (действий), запуск (ракеты),спуск (судна)",[sound:launch.mp3]
swollen,(adj.),[ˈswoʊlən],"вздутый, раздутый, опухший",[sound:swollen.mp3]
